COD_CLIENTE,FAMILIA_PRODUTO,LINHA_PRODUTO,INSTANTE,PRECO_VENDA,DEMANDA
CLIENTE9,ArtificialCinco,V16,12,"608,4788771",64
CLIENTE9,ArtificialCinco,V16,15,"608,4788771",64
CLIENTE10,InferiorRaso,V1,1,"608,4788771",1000
CLIENTE10,InferiorRaso,V1,4,"608,4788771",1000
CLIENTE10,InferiorRaso,V1,6,"608,4788771",1000
CLIENTE10,InferiorRaso,V1,8,"608,4788771",1000
CLIENTE10,InferiorRaso,V1,10,"608,4788771",1000
CLIENTE10,InferiorRaso,V1,12,"608,4788771",1000
CLIENTE10,InferiorRaso,V1,13,"608,4788771",1000
CLIENTE11,MuitoBomPleno,V8,1,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,2,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,3,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,4,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,5,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,6,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,7,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,8,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,9,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,10,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,11,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,12,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,13,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,14,"608,4788771","308,3333333"
CLIENTE11,MuitoBomPleno,V8,15,"608,4788771","308,3333333"
CLIENTE356,MuitoBomPleno,V5,1,"608,4788771","18,50434351"
CLIENTE356,MuitoBomPleno,V5,2,"608,4788771","37,10650323"
CLIENTE356,MuitoBomPleno,V5,3,"608,4788771","27,73322568"
CLIENTE356,MuitoBomPleno,V5,4,"608,4788771",36
CLIENTE356,MuitoBomPleno,V5,5,"608,4788771",36
CLIENTE356,MuitoBomPleno,V5,6,"608,4788771",36
CLIENTE356,MuitoBomPleno,V5,7,"608,4788771",36
CLIENTE356,MuitoBomPleno,V5,8,"608,4788771",36
CLIENTE356,MuitoBomPleno,V5,9,"608,4788771",36
CLIENTE356,MuitoBomPleno,V5,10,"608,4788771",36
CLIENTE356,MuitoBomPleno,V5,11,"608,4788771",36
CLIENTE356,MuitoBomPleno,V5,12,"608,4788771",36
CLIENTE356,MuitoBomPleno,V5,13,"608,4788771","18,50434351"
CLIENTE356,MuitoBomPleno,V5,14,"608,4788771","37,10650323"
CLIENTE356,MuitoBomPleno,V5,15,"608,4788771","27,73322568"
CLIENTE552,MuitoBomPleno,V12,1,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,2,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,3,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,4,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,5,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,6,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,7,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,8,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,9,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,10,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,11,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,12,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,13,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,14,"608,4788771",350
CLIENTE552,MuitoBomPleno,V12,15,"608,4788771",350
CLIENTE12,MuitoBomPleno,V13,3,"608,4788771",550
CLIENTE12,MuitoBomPleno,V13,4,"608,4788771",550
CLIENTE12,MuitoBomPleno,V13,5,"608,4788771",550
CLIENTE12,MuitoBomPleno,V13,6,"608,4788771",700
CLIENTE12,MuitoBomPleno,V13,7,"608,4788771",700
CLIENTE12,MuitoBomPleno,V13,8,"608,4788771",700
CLIENTE12,MuitoBomPleno,V13,9,"608,4788771",700
CLIENTE12,MuitoBomPleno,V13,10,"608,4788771",700
CLIENTE12,MuitoBomPleno,V13,11,"608,4788771",700
CLIENTE12,MuitoBomPleno,V13,12,"608,4788771",550
CLIENTE12,MuitoBomPleno,V13,15,"608,4788771",550
CLIENTE12,NeutroSuave,V13,1,"608,4788771",160
CLIENTE12,NeutroSuave,V13,2,"608,4788771",972
CLIENTE12,NeutroSuave,V13,13,"608,4788771",160
CLIENTE12,NeutroSuave,V13,14,"608,4788771",972
CLIENTE12,SemiClaroSaturado,V11,1,"608,4788771",120
CLIENTE12,SemiClaroSaturado,V11,2,"608,4788771",122
CLIENTE12,SemiClaroSaturado,V11,3,"608,4788771",260
CLIENTE12,SemiClaroSaturado,V11,4,"608,4788771",180
CLIENTE12,SemiClaroSaturado,V11,5,"608,4788771",180
CLIENTE12,SemiClaroSaturado,V11,6,"608,4788771",180
CLIENTE12,SemiClaroSaturado,V11,7,"608,4788771",180
CLIENTE12,SemiClaroSaturado,V11,8,"608,4788771",180
CLIENTE12,SemiClaroSaturado,V11,9,"608,4788771",180
CLIENTE12,SemiClaroSaturado,V11,10,"608,4788771",180
CLIENTE12,SemiClaroSaturado,V11,11,"608,4788771",180
CLIENTE12,SemiClaroSaturado,V11,12,"608,4788771",180
CLIENTE12,SemiClaroSaturado,V11,13,"608,4788771",120
CLIENTE12,SemiClaroSaturado,V11,14,"608,4788771",122
CLIENTE12,SemiClaroSaturado,V11,15,"608,4788771",260
CLIENTE233,InferiorRaso,V1,1,"608,4788771",1560
CLIENTE233,InferiorRaso,V1,2,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,3,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,4,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,5,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,6,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,7,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,8,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,9,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,10,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,11,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,12,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,13,"608,4788771",1560
CLIENTE233,InferiorRaso,V1,14,"608,4788771",1666
CLIENTE233,InferiorRaso,V1,15,"608,4788771",1666
CLIENTE551,ExcelenteSupremo,V3,2,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,3,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,4,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,5,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,6,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,7,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,8,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,9,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,10,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,11,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,14,"608,4788771",200
CLIENTE551,ExcelenteSupremo,V3,15,"608,4788771",200
CLIENTE710,InferiorRaso,V1,1,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,2,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,3,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,4,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,5,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,6,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,7,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,8,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,9,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,10,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,11,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,12,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,13,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,14,"608,4788771","233,3333333"
CLIENTE710,InferiorRaso,V1,15,"608,4788771","233,3333333"
CLIENTE13,RefeitoSimples,V4,1,"608,4788771",3710
CLIENTE13,RefeitoSimples,V4,2,"608,4788771",3565
CLIENTE13,RefeitoSimples,V4,3,"608,4788771",4245
CLIENTE13,RefeitoSimples,V4,4,"608,4788771",3905
CLIENTE13,RefeitoSimples,V4,5,"608,4788771",3735
CLIENTE13,RefeitoSimples,V4,6,"608,4788771",4075
CLIENTE13,RefeitoSimples,V4,7,"608,4788771",4075
CLIENTE13,RefeitoSimples,V4,8,"608,4788771",3735
CLIENTE13,RefeitoSimples,V4,9,"608,4788771",4245
